order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-1/","Middletown transcript. April 07, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0115.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-1/thumbnail.jpg",6120,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0115.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-2/","Middletown transcript. April 07, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0116.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-2/thumbnail.jpg",6008,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0116.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-3/","Middletown transcript. April 07, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0117.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-3/thumbnail.jpg",6056,8512,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0117.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-4/","Middletown transcript. April 07, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0118.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-4/thumbnail.jpg",6072,8592,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0118.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-5/","Middletown transcript. April 07, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0119.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-5/thumbnail.jpg",6120,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0119.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-6/","Middletown transcript. April 07, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0120.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-6/thumbnail.jpg",6096,8520,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0120.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-7/","Middletown transcript. April 07, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0121.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-7/thumbnail.jpg",6088,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0121.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-8/","Middletown transcript. April 07, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0122.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-07/ed-1/seq-8/thumbnail.jpg",6120,8552,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917040701/0122.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-1/","Middletown transcript. April 14, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0123.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-1/thumbnail.jpg",6088,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0123.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-2/","Middletown transcript. April 14, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0124.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-2/thumbnail.jpg",6008,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0124.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-3/","Middletown transcript. April 14, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0125.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-3/thumbnail.jpg",5992,8504,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0125.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-4/","Middletown transcript. April 14, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0126.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-4/thumbnail.jpg",6072,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0126.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-5/","Middletown transcript. April 14, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0127.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-5/thumbnail.jpg",6008,8520,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0127.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-6/","Middletown transcript. April 14, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0128.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-6/thumbnail.jpg",6088,8480,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0128.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-7/","Middletown transcript. April 14, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0129.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-7/thumbnail.jpg",6024,8456,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0129.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-8/","Middletown transcript. April 14, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0130.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-14/ed-1/seq-8/thumbnail.jpg",6088,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917041401/0130.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-1/","Middletown transcript. April 21, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0131.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-1/thumbnail.jpg",6120,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0131.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-2/","Middletown transcript. April 21, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0132.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-2/thumbnail.jpg",6040,8344,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0132.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-3/","Middletown transcript. April 21, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0133.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-3/thumbnail.jpg",6008,8408,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0133.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-4/","Middletown transcript. April 21, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0134.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-4/thumbnail.jpg",6056,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0134.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-5/","Middletown transcript. April 21, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0135.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-5/thumbnail.jpg",6088,8352,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0135.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-6/","Middletown transcript. April 21, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0136.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-6/thumbnail.jpg",6136,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0136.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-7/","Middletown transcript. April 21, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0137.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-7/thumbnail.jpg",6040,8344,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0137.xml"
24,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-8/","Middletown transcript. April 21, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0138.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-21/ed-1/seq-8/thumbnail.jpg",6160,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042101/0138.xml"
25,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-1/","Middletown transcript. April 28, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0139.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-1/thumbnail.jpg",6120,8376,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0139.xml"
26,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-2/","Middletown transcript. April 28, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0140.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-2/thumbnail.jpg",6024,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0140.xml"
27,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-3/","Middletown transcript. April 28, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0141.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-3/thumbnail.jpg",6040,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0141.xml"
28,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-4/","Middletown transcript. April 28, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0142.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-4/thumbnail.jpg",6040,8480,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0142.xml"
29,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-5/","Middletown transcript. April 28, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0143.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-5/thumbnail.jpg",6104,8456,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0143.xml"
30,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-6/","Middletown transcript. April 28, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0144.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-6/thumbnail.jpg",6136,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0144.xml"
31,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-7/","Middletown transcript. April 28, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0145.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-7/thumbnail.jpg",6104,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0145.xml"
32,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-8/","Middletown transcript. April 28, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0146.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-04-28/ed-1/seq-8/thumbnail.jpg",6104,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917042801/0146.xml"
33,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-1/","Middletown transcript. May 05, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0147.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-1/thumbnail.jpg",6072,8440,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0147.xml"
34,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-2/","Middletown transcript. May 05, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0148.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-2/thumbnail.jpg",6072,8432,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0148.xml"
35,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-3/","Middletown transcript. May 05, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0149.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-3/thumbnail.jpg",6064,8496,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0149.xml"
36,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-4/","Middletown transcript. May 05, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0150.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-4/thumbnail.jpg",6072,8432,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0150.xml"
37,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-5/","Middletown transcript. May 05, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0151.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-5/thumbnail.jpg",6056,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0151.xml"
38,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-6/","Middletown transcript. May 05, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0152.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-6/thumbnail.jpg",6096,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0152.xml"
39,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-7/","Middletown transcript. May 05, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0153.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-7/thumbnail.jpg",6088,8360,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0153.xml"
40,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-8/","Middletown transcript. May 05, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0154.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-05/ed-1/seq-8/thumbnail.jpg",6072,8456,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917050501/0154.xml"
41,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-1/","Middletown transcript. May 12, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0155.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-1/thumbnail.jpg",6152,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0155.xml"
42,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-2/","Middletown transcript. May 12, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0156.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-2/thumbnail.jpg",5992,8392,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0156.xml"
43,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-3/","Middletown transcript. May 12, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0157.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-3/thumbnail.jpg",6008,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0157.xml"
44,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-4/","Middletown transcript. May 12, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0158.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-4/thumbnail.jpg",6072,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0158.xml"
45,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-5/","Middletown transcript. May 12, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0159.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-5/thumbnail.jpg",6072,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0159.xml"
46,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-6/","Middletown transcript. May 12, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0160.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-6/thumbnail.jpg",6176,8584,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0160.xml"
47,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-7/","Middletown transcript. May 12, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0161.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-7/thumbnail.jpg",6008,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0161.xml"
48,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-8/","Middletown transcript. May 12, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0162.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-12/ed-1/seq-8/thumbnail.jpg",6120,8472,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051201/0162.xml"
49,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-1/","Middletown transcript. May 19, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0163.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-1/thumbnail.jpg",6152,8520,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0163.xml"
50,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-2/","Middletown transcript. May 19, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0164.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-2/thumbnail.jpg",6104,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0164.xml"
51,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-3/","Middletown transcript. May 19, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0165.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-3/thumbnail.jpg",6024,8424,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0165.xml"
52,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-4/","Middletown transcript. May 19, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0166.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-4/thumbnail.jpg",6024,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0166.xml"
53,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-5/","Middletown transcript. May 19, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0167.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-5/thumbnail.jpg",6056,8488,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0167.xml"
54,"http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-6/","Middletown transcript. May 19, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0168.jpg","http://chroniclingamerica.loc.gov/lccn/sn84026820/1917-05-19/ed-1/seq-6/thumbnail.jpg",6016,8408,"http://s3.amazonaws.com/ndnp-batches/deu_descendo_ver01/data/sn84026820/00271765095/1917051901/0168.xml"
